model,feature_set,ticker,qlike,vol_rmse,vol_mae,calibration,n_obs,n_dates,year
EWMA,baseline,GLD,0.44387277314699397,0.06110069364946843,0.048238316659150876,1.032196098322671,252,252,2014
EWMA,baseline,SPY,0.5597058274711629,0.055905278875072205,0.04462285201323535,1.095412924417067,252,252,2014
EWMA,baseline,TLT,0.20979517860719094,0.03366370527385378,0.026257889082957862,1.1018388528778453,252,252,2014
EWMA,baseline,Pooled,0.4044579264084493,0.05161375793110037,0.03970635258511469,1.0665298153986722,756,252,2014
HV21,baseline,GLD,0.4314714455519064,0.06082293148423107,0.04855856904429424,1.0123854648395176,252,252,2014
HV21,baseline,SPY,0.8026930644404328,0.061982194200342226,0.04822716085587117,1.0905898638695526,252,252,2014
HV21,baseline,TLT,0.2266293205272961,0.03476111926427537,0.027598904473391618,1.1078353209149774,252,252,2014
HV21,baseline,Pooled,0.4869312768398784,0.05400480473911428,0.041461544791185675,1.0567129299330362,756,252,2014
LightGBM,full,GLD,0.4150302285275086,0.06669054643164866,0.05323520715503785,0.8961916610371365,252,252,2014
LightGBM,full,SPY,0.529499003370292,0.05918048043254366,0.051246288852149664,0.7768427453007879,252,252,2014
LightGBM,full,TLT,0.2163915831980969,0.0390458513510412,0.02940732787179884,0.9040047872133951,252,252,2014
LightGBM,full,Pooled,0.3869736050319658,0.05619767716227595,0.044629607959662115,0.8613226161820717,756,252,2014
LightGBM,no_cross,GLD,0.4623491036367152,0.063515491496766,0.04998761433697247,1.1100490246966854,252,252,2014
LightGBM,no_cross,SPY,0.4491398413968401,0.04839768424325704,0.0389149145542269,1.0541367669717527,252,252,2014
LightGBM,no_cross,TLT,0.22532931183479252,0.039444951663770274,0.029837589193234683,0.9198645326325107,252,252,2014
LightGBM,no_cross,Pooled,0.37893941895611594,0.051421324084932364,0.03958003936147801,1.0397764346936167,756,252,2014
LightGBM,risk_only,GLD,0.4298967811046908,0.06536098578682864,0.05433689684264177,0.8928219988576638,252,252,2014
LightGBM,risk_only,SPY,0.49976654742842425,0.053571904726061194,0.044657766110026635,0.9686776998060268,252,252,2014
LightGBM,risk_only,TLT,0.2160117731907331,0.03689654137029984,0.029187287911754678,0.9453843981494419,252,252,2014
LightGBM,risk_only,Pooled,0.381891700574616,0.05323959117077704,0.0427273169548077,0.9261365499322458,756,252,2014
Ridge,full,GLD,0.41659421709760636,0.06551990979157812,0.05446611235722334,0.8316313730422399,252,252,2014
Ridge,full,SPY,0.43290894921568246,0.05278562053305458,0.04435876146151442,0.8473235517253852,252,252,2014
Ridge,full,TLT,0.207109345024428,0.03544885331950923,0.0279621625758392,0.9340908164534514,252,252,2014
Ridge,full,Pooled,0.3522041704459056,0.05271243216998007,0.042262345464858984,0.8601739860257684,756,252,2014
Ridge,no_cross,GLD,0.4022586130551443,0.06251466962815795,0.05087893812169823,0.9094435346928096,252,252,2014
Ridge,no_cross,SPY,0.4281920360049712,0.05055773027295221,0.041248413908076,0.9664345077483024,252,252,2014
Ridge,no_cross,TLT,0.20302853061677323,0.03479603899058273,0.027193994387646386,0.9597552944749592,252,252,2014
Ridge,no_cross,Pooled,0.3444930598922962,0.05057974673227904,0.039773782139140214,0.9373634762763893,756,252,2014
Ridge,risk_only,GLD,0.4177991186665058,0.06633771916062217,0.055817025450759776,0.812971589027706,252,252,2014
Ridge,risk_only,SPY,0.48652942791430703,0.05681161351774987,0.04691888652177246,0.8797727586848744,252,252,2014
Ridge,risk_only,TLT,0.20107171295090762,0.03479758108529886,0.027498417035757887,0.9232837359319502,252,252,2014
Ridge,risk_only,Pooled,0.36846675317724026,0.054280518492094094,0.04341144300276337,0.8572374679111927,756,252,2014
EWMA,baseline,GLD,0.33460478053311754,0.05413127756009763,0.0430705289721878,0.9420367691868805,252,252,2015
EWMA,baseline,SPY,0.6032761611262467,0.07443645988484605,0.05045864019833722,1.023399662664625,252,252,2015
EWMA,baseline,TLT,0.20361085413341518,0.04379129733634053,0.03436730730479425,0.9782074776094745,252,252,2015
EWMA,baseline,Pooled,0.38049726526425987,0.05884629553018159,0.04263215882510642,0.982415056259065,756,252,2015
HV21,baseline,GLD,0.3413055769738409,0.05452932356022669,0.042990970054159916,0.9742515416436129,252,252,2015
HV21,baseline,SPY,0.6892454342370945,0.07882811477802681,0.0539672088866386,1.0116995702189062,252,252,2015
HV21,baseline,TLT,0.22309319738732278,0.04566339212167942,0.03636898665583264,0.9704584203587812,252,252,2015
HV21,baseline,Pooled,0.41788140286608616,0.061298352852943556,0.044442388532210386,0.9857723114396691,756,252,2015
LightGBM,full,GLD,0.3019145693470954,0.050700652915161216,0.04114835681843407,1.005250202165453,252,252,2015
LightGBM,full,SPY,0.49013234557302965,0.06830391364380704,0.04646343625379468,1.0347510164273812,252,252,2015
LightGBM,full,TLT,0.17713638186079286,0.040675871525573185,0.032408052981812124,1.1793644437112292,252,252,2015
LightGBM,full,Pooled,0.32306109892697266,0.054438060672808784,0.04000661535134695,1.0718350934308116,756,252,2015
LightGBM,no_cross,GLD,0.3138493106901944,0.052406819861574944,0.0427014368278208,0.9840681713785295,252,252,2015
LightGBM,no_cross,SPY,0.5026194587994597,0.06921892958544529,0.04643364773669258,1.0155715937530108,252,252,2015
LightGBM,no_cross,TLT,0.18307007208895482,0.041097600681122254,0.03277340535665946,1.1732678389309843,252,252,2015
LightGBM,no_cross,Pooled,0.3331796138595363,0.055457935298456544,0.04063616330705762,1.055655100299121,756,252,2015
LightGBM,risk_only,GLD,0.3102376889142822,0.05606096385860223,0.04495008344472954,0.8269168805413825,252,252,2015
LightGBM,risk_only,SPY,0.5815269357917294,0.07518696818948978,0.053117660516613374,0.9437650843650557,252,252,2015
LightGBM,risk_only,TLT,0.18874234246333552,0.04355006906181316,0.035088156953553544,1.041434843422952,252,252,2015
LightGBM,risk_only,Pooled,0.36016898905644906,0.059700698961769695,0.04438530030496548,0.9357821578023517,756,252,2015
Ridge,full,GLD,0.31966539190337256,0.056575043611938616,0.04658106870617733,0.7882004683349494,252,252,2015
Ridge,full,SPY,0.4907852269104048,0.06951900868780583,0.047717594611146136,0.9531782016414276,252,252,2015
Ridge,full,TLT,0.18898964629968298,0.042322891182764666,0.033721789844486295,1.0715762583476554,252,252,2015
Ridge,full,Pooled,0.33314675503782015,0.05722719413791582,0.042673484387269915,0.9320573802008572,756,252,2015
Ridge,no_cross,GLD,0.315399756625958,0.05561988882814368,0.04576205609471008,0.8161297920020978,252,252,2015
Ridge,no_cross,SPY,0.5090239713667103,0.06914645585812434,0.04624493624310476,0.9914266476293245,252,252,2015
Ridge,no_cross,TLT,0.18584478792128062,0.04151065886188289,0.0328989666581279,1.0667939037492404,252,252,2015
Ridge,no_cross,Pooled,0.33675617197131635,0.056562470449766776,0.04163531966531424,0.9548345334951386,756,252,2015
Ridge,risk_only,GLD,0.3368987907623612,0.06015196814416333,0.04936224975180195,0.738278971358077,252,252,2015
Ridge,risk_only,SPY,0.564657530699543,0.07531802031508388,0.0530495028087504,0.9064735443184868,252,252,2015
Ridge,risk_only,TLT,0.19058810692128061,0.04373977872667634,0.03461450802752047,0.9724041538384233,252,252,2015
Ridge,risk_only,Pooled,0.36404814279439496,0.06111255108093164,0.045675420196024274,0.8689665873160718,756,252,2015
EWMA,baseline,GLD,0.40931391084281943,0.06821170374842725,0.052209896449963086,0.9788181888600066,252,252,2016
EWMA,baseline,SPY,0.7497248313827651,0.0655733880329913,0.04865091938908801,0.8985498246214331,252,252,2016
EWMA,baseline,TLT,0.4644458200424877,0.05786178891659123,0.03947219815670017,0.9903340362796775,252,252,2016
EWMA,baseline,Pooled,0.5411615207560242,0.06403304449791689,0.04677767133191709,0.9581100647740983,756,252,2016
HV21,baseline,GLD,0.46837218580669304,0.07034894752733391,0.05316147006269114,0.9812802568931608,252,252,2016
HV21,baseline,SPY,0.999994956581187,0.06864056004582002,0.04741585267257971,0.9143881439243816,252,252,2016
HV21,baseline,TLT,0.5182912609790192,0.05979095171763903,0.04049545503769032,0.9836067328729869,252,252,2016
HV21,baseline,Pooled,0.6622194677889663,0.06642152966448064,0.047024259257653724,0.9622922433328243,756,252,2016
LightGBM,full,GLD,0.3924201542515862,0.0733557972045151,0.05980949721476919,0.7974164199065202,252,252,2016
LightGBM,full,SPY,0.4776172011181998,0.059509401236600735,0.04810767867421316,0.7394658779109099,252,252,2016
LightGBM,full,TLT,0.37063739447132077,0.053606953366844616,0.03762318751914442,1.017641872757341,252,252,2016
LightGBM,full,Pooled,0.41355824994703555,0.06270605305264593,0.04851345446937559,0.8302878191787358,756,252,2016
LightGBM,no_cross,GLD,0.4035482309665021,0.0715592934849916,0.054816680712400236,0.8639090858925439,252,252,2016
LightGBM,no_cross,SPY,0.4710398749070675,0.05573859874698515,0.04342809707375746,0.8073658160359799,252,252,2016
LightGBM,no_cross,TLT,0.40678727774225504,0.0567159130264588,0.04035196821639476,0.9260201899010094,252,252,2016
LightGBM,no_cross,Pooled,0.42712512787194157,0.06176357789931272,0.046198915334184146,0.8634876056122963,756,252,2016
LightGBM,risk_only,GLD,0.31895509791162924,0.06311746006438498,0.04773255658865181,0.9707480947460734,252,252,2016
LightGBM,risk_only,SPY,0.5925900145801328,0.06477497742673906,0.05111683794360889,0.8062897151479415,252,252,2016
LightGBM,risk_only,TLT,0.3871323878755113,0.05777774484493653,0.041069090738284304,0.912917258650702,252,252,2016
LightGBM,risk_only,Pooled,0.4328925001224245,0.06196202940774932,0.04663949509018167,0.9031254426464246,756,252,2016
Ridge,full,GLD,0.3655435671335379,0.06931106211160032,0.056262501734849535,0.8328651283266613,252,252,2016
Ridge,full,SPY,0.5863478584259707,0.06356242398816232,0.05072311028128319,0.7671451297407493,252,252,2016
Ridge,full,TLT,0.43695390995750544,0.0596260021421254,0.04404830513018079,0.8916184617444989,252,252,2016
Ridge,full,Pooled,0.4629484451723379,0.0642896186688068,0.05034463904877118,0.828570576078055,756,252,2016
Ridge,no_cross,GLD,0.3580721099379613,0.06561912468364944,0.05032738521486633,0.9341712601044861,252,252,2016
Ridge,no_cross,SPY,0.5771280672486884,0.0605609985313114,0.04747775217324563,0.8119695183036446,252,252,2016
Ridge,no_cross,TLT,0.4423621709944175,0.05818576516160995,0.04162539029041099,0.9451041940648793,252,252,2016
Ridge,no_cross,Pooled,0.45918744939368905,0.061533425428244165,0.04647684255950765,0.8993732689816801,756,252,2016
Ridge,risk_only,GLD,0.3816010953135989,0.06996990411298382,0.056412609451641525,0.8524190602871164,252,252,2016
Ridge,risk_only,SPY,0.6501712714221312,0.06697008495927367,0.05340805390741173,0.793448144166426,252,252,2016
Ridge,risk_only,TLT,0.40423577425215507,0.05630174473085703,0.03984792035883123,0.946835704955587,252,252,2016
Ridge,risk_only,Pooled,0.47866938032929496,0.06468040976156297,0.049889527905961496,0.8589343227653102,756,252,2016
EWMA,baseline,GLD,0.18907894048670953,0.02980814143789198,0.02555502882701882,0.9350704424001856,251,251,2017
EWMA,baseline,SPY,0.5473022534433143,0.03359706862239205,0.028234726121944703,0.9705669350688186,251,251,2017
EWMA,baseline,TLT,0.2238695543572486,0.030655522040775363,0.025631511445118736,0.9680127293064251,251,251,2017
